iter	Passed	Remaining
352	2378	990
353	2385	983
354	2391	976
355	2397	969
356	2404	962
357	2410	956
358	2417	949
359	2423	942
360	2430	935
361	2436	928
362	2442	921
363	2448	914
364	2454	907
365	2460	901
366	2466	894
367	2473	887
368	2480	880
369	2486	873
370	2492	866
371	2498	859
372	2505	852
373	2511	846
374	2517	839
375	2523	832
376	2530	825
377	2536	818
378	2542	811
379	2548	804
380	2554	797
381	2560	790
382	2566	784
383	2573	777
384	2579	770
385	2585	763
386	2591	756
387	2598	750
388	2604	743
389	2610	736
390	2616	729
391	2623	722
392	2629	715
393	2635	709
394	2642	702
395	2648	695
396	2654	688
397	2661	682
398	2667	675
399	2674	668
400	2680	661
401	2687	655
402	2693	648
403	2699	641
404	2706	634
405	2713	628
406	2719	621
407	2725	614
408	2731	607
409	2738	601
410	2744	594
411	2750	587
412	2756	580
413	2762	573
414	2769	567
415	2775	560
416	2781	553
417	2787	546
418	2794	540
419	2800	533
420	2807	526
421	2813	520
422	2819	513
423	2826	506
424	2833	499
425	2839	493
426	2845	486
427	2852	479
428	2858	473
429	2864	466
430	2870	459
431	2877	452
432	2883	446
433	2889	439
434	2895	432
435	2902	425
436	2908	419
437	2914	412
438	2921	405
439	2928	399
440	2934	392
441	2941	385
442	2947	379
443	2954	372
444	2960	365
445	2966	359
446	2973	352
447	2979	345
448	2985	339
449	2991	332
450	2998	325
451	3005	319
452	3011	312
453	3017	305
454	3023	299
455	3029	292
456	3036	285
457	3042	279
458	3048	272
459	3055	265
460	3061	259
461	3068	252
462	3074	245
463	3081	239
464	3087	232
465	3093	225
466	3100	219
467	3106	212
468	3112	205
469	3118	199
470	3125	192
471	3131	185
472	3137	179
473	3143	172
474	3150	165
475	3156	159
476	3162	152
477	3168	145
478	3174	139
479	3180	132
480	3186	125
481	3192	119
482	3198	112
483	3204	105
484	3210	99
485	3217	92
486	3223	86
487	3229	79
488	3236	72
489	3242	66
490	3248	59
491	3254	52
492	3260	46
493	3266	39
494	3272	33
495	3279	26
496	3285	19
497	3292	13
498	3297	6
499	3304	0
