iter	Logloss
0	0.5625382643
1	0.435958312
2	0.3810741407
3	0.3313988884
4	0.2976857682
5	0.271805234
6	0.2465912057
7	0.223688067
8	0.2035845961
9	0.1956034781
10	0.1889102697
11	0.1838547806
12	0.1786053917
13	0.1741070069
14	0.1705037606
15	0.1673848903
16	0.1631577541
17	0.1606515095
18	0.1566496362
19	0.1541016415
20	0.1526459571
21	0.1495631207
22	0.1466796161
23	0.1445912712
24	0.1427699765
25	0.1415700059
26	0.1399507816
27	0.1385246504
28	0.1355399602
29	0.1345066867
30	0.1334047304
31	0.1320586281
32	0.1304209777
33	0.1276904357
34	0.1257919937
35	0.1250363376
36	0.1243712408
37	0.1233855502
38	0.1223811922
39	0.1216835108
40	0.1208939802
41	0.1201148315
42	0.1197094506
43	0.1183246072
44	0.1176088783
45	0.1169687723
46	0.1164122596
47	0.1159311411
48	0.1153215149
49	0.1145073787
50	0.1138656249
51	0.1129672646
52	0.1124611088
53	0.1121852485
54	0.1118557838
55	0.1112399741
56	0.1105329723
57	0.1101839828
58	0.1099198047
59	0.1094452478
60	0.1090996162
61	0.1089051738
62	0.1087005632
63	0.1083327759
64	0.1081011954
65	0.1076770619
66	0.10731721
67	0.1070181986
68	0.1066871054
69	0.106348361
70	0.1056840806
71	0.1052915872
72	0.1048730213
73	0.1046410148
74	0.1041737779
75	0.103874977
76	0.1036438392
77	0.1029271694
78	0.1027190804
79	0.1022187398
80	0.1019242732
81	0.1017150779
82	0.101547734
83	0.1014123095
84	0.1011589764
85	0.1009252082
86	0.1007163353
87	0.1001208112
88	0.09992362403
89	0.09977215744
90	0.09951306127
91	0.09934615148
92	0.09909074335
93	0.09846781359
94	0.0984023802
95	0.09812871643
96	0.09800498502
97	0.09781181386
98	0.09770872292
99	0.097572401
100	0.09730677393
101	0.09717897012
102	0.09695552684
103	0.09688593169
104	0.09667986318
105	0.09638235944
106	0.0962283154
107	0.09566214912
108	0.0954693804
109	0.09534500677
110	0.095103307
111	0.09491586012
112	0.09481172143
113	0.09467109317
114	0.09424952674
115	0.09411944394
116	0.09398241006
117	0.09382934375
118	0.0936521414
119	0.09354212906
120	0.09331217347
121	0.09300943603
122	0.09289050909
123	0.09277905273
124	0.09252421825
125	0.09218547523
126	0.09200092531
127	0.09195079087
128	0.09185324416
129	0.09167228206
